"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
35,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
36,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
37,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
38,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
39,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
40,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
41,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
42,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
43,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
44,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
45,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
46,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
47,1.40212045839033,0,0.115,10.547,2.349,0.956,-5.08646408839637,2.24677406576195,2.29792443744417,2.31714739099294,6.33951633980783,2.53533783079008,-8.93642872191065,-5.11168449059217,2.77396675966632,0.0767187853024923,3.49863649339106
48,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
49,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
50,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
51,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
52,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
53,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
54,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
55,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
56,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
57,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
58,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
59,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
60,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
61,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
62,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
63,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
64,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
65,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
66,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
67,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
68,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
69,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
70,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
71,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
72,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
73,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
74,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
75,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
76,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
77,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
78,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
79,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
80,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
81,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
82,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
83,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
84,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
85,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
86,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
87,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
88,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
89,0.879855686197958,0,0.172,9.509,2.21,0.961,-5.06762016677033,2.31253487553996,2.38256831556577,2.39945227530259,6.51914115678524,2.64681144022439,-9.21606469600046,-5.28644467216898,2.88827318110097,0.03333072556421,3.56012107768208
90,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
91,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
92,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
93,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
94,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
95,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
96,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
97,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
98,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
99,0.879855686197958,0,0.172,9.509,2.21,0.961,-5.06762016677033,2.31253487553996,2.38256831556577,2.39945227530259,6.51914115678524,2.64681144022439,-9.21606469600046,-5.28644467216898,2.88827318110097,0.03333072556421,3.56012107768208
100,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
101,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
102,1.29734757977244,0,0.126,10.312,2.32,0.957,-5.0827537228987,2.2596945910692,2.31439296229587,2.3331701073906,6.37475063958866,2.55698894200967,-8.99110809533374,-5.14576406854196,2.79619131080536,0.0684704843219821,3.51088870428362
103,1.40212045839033,0,0.115,10.547,2.349,0.956,-5.08646408839637,2.24677406576195,2.29792443744417,2.31714739099294,6.33951633980783,2.53533783079008,-8.93642872191065,-5.11168449059217,2.77396675966632,0.0767187853024923,3.49863649339106
104,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
105,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
106,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
107,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
108,1.02770721485984,0,0.155,9.768,2.244,0.96,-5.07304528083589,2.29361777842298,2.35794363426132,2.37556469480273,6.46723122994517,2.61432225484787,-9.13508428000286,-5.23569404636031,2.85499879723883,0.046213174393205,3.54261008779067
109,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
110,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
111,1.11070412714152,0,0.146,9.926,2.268,0.959,-5.07605751610974,2.2830288651098,2.34435604639505,2.36229437436499,6.43851193437657,2.59643276340098,-9.09024939985633,-5.2076767337719,2.83664705855423,0.0532200328336306,3.53282084706622
112,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
113,0.950912212951907,0,0.164,9.63,2.226,0.96,-5.07023648065165,2.30341080899009,2.37066630713255,2.38790977731675,6.49408826653358,2.63110302836233,-9.1769612503797,-5.26192505747963,2.87218866746572,0.0395832718200893,3.55169570456699
114,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
115,1.20040381171934,0,0.137,10.106,2.293,0.958,-5.07928962125459,2.2717634640103,2.32985437575467,2.34820316722982,6.40770787865425,2.57733440353397,-9.04232182603119,-5.17772682713052,2.81706398951076,0.0606400761860644,3.5222637517713
